SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
ABSLFTSIDD,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Fixed Term P,MF,13-MAR-2019,10,1,INF209KB1L02,10
ABSLFTSIDG,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Fixed Term P,MF,13-MAR-2019,10,1,INF209KB1K94,10
ABSLFTSIRD,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Fixed Term P,MF,13-MAR-2019,10,1,INF209KB1K86,10
ABSLFTSIRG,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Fixed Term P,MF,13-MAR-2019,10,1,INF209KB1K78,10
ABSLFTSJDD,Aditya Birla Sun Life Fixed Term Plan-Series SJ (1135D)-DP-DPO,MF,20-MAR-2019,10,1,INF209KB1L44,10
ABSLFTSJDG,Aditya Birla Sun Life Fixed Term Plan-Series SJ (1135D)-DP-GO,MF,20-MAR-2019,10,1,INF209KB1L36,10
ABSLFTSJRD,Aditya Birla Sun Life Fixed Term Plan-Series SJ (1135D)-RP-DPO,MF,20-MAR-2019,10,1,INF209KB1L28,10
ABSLFTSJRG,Aditya Birla Sun Life Fixed Term Plan-Series SJ (1135D)-RP-GO,MF,20-MAR-2019,10,1,INF209KB1L10,10
ABSLFTSKDD,Aditya Birla Sun Life Fixed Term Plan - Series SK (1128 days)DP-DPO,MF,28-MAR-2019,10,1,INF209KB1L85,10
ABSLFTSKDG,Aditya Birla Sun Life Fixed Term Plan - Series SK (1128 days)DP-GO,MF,28-MAR-2019,10,1,INF209KB1L77,10
ABSLFTSKRD,Aditya Birla Sun Life Fixed Term Plan - Series SK (1128 days)RP-DPO,MF,28-MAR-2019,10,1,INF209KB1L69,10
ABSLFTSKRG,Aditya Birla Sun Life Fixed Term Plan - Series SK (1128 days)RP-GO,MF,28-MAR-2019,10,1,INF209KB1L51,10
ABSLFTSLDD,Aditya Birla Sun Life Mutual Fund - ABSLFTP - Sr SL (1120 days)-DPDPO,MF,03-APR-2019,10,1,INF209KB1M27,10
ABSLFTSLDG,Aditya Birla Sun Life Mutual Fund - ABSLFTP - Sr SL (1120 days)-DPGO,MF,03-APR-2019,10,1,INF209KB1M19,10
ABSLFTSLRD,Aditya Birla Sun Life Mutual Fund - ABSLFTP - Sr SL (1120 days)-RPDPO,MF,03-APR-2019,10,1,INF209KB1M01,10
ABSLFTSLRG,Aditya Birla Sun Life Mutual Fund - ABSLFTP - Sr SL (1120 days)-RPGO,MF,03-APR-2019,10,1,INF209KB1L93,10
ABSLFTSNDG,Aditya Birla Sun Life Fixed Term Plan - Series SN(1099D)-DP-GO,MF,14-MAY-2019,10,1,INF209KB1M92,10
ABSLFTSNDN,Aditya Birla Sun Life Fixed Term Plan - Series SN(1099D)-DP-DPO,MF,14-MAY-2019,10,1,INF209KB1N00,10
ABSLFTSNRG,Aditya Birla Sun Life Fixed Term Plan - Series SN(1099D)-RP-GO,MF,14-MAY-2019,10,1,INF209KB1M76,10
ABSLFTSNRN,Aditya Birla Sun Life Fixed Term Plan - Series SN(1099D)-RP-DPO,MF,14-MAY-2019,10,1,INF209KB1M84,10
ABSLFTSODG,Aditya Birla Sun Life FTP - Series SO (1099 days) DP-G,MF,28-MAY-2019,10,1,INF209KB1N34,10
ABSLFTSODN,Aditya Birla Sun Life FTP - Series SO (1099 days) DP-NDP,MF,28-MAY-2019,10,1,INF209KB1N42,10
ABSLFTSORG,Aditya Birla Sun Life FTP - Series SO (1099 days)RP-G,MF,28-MAY-2019,10,1,INF209KB1N18,10
ABSLFTSORN,Aditya Birla Sun Life FTP - Series SO (1099 days)RP-NDP,MF,28-MAY-2019,10,1,INF209KB1N26,10
ABSLRIF6DD,Aditya Birla Sun Life Resurgent India Fund - Series 6 - DPDP,MF,16-MAR-2018,10,1,INF209KB1LO8,10
ABSLRIF6DG,Aditya Birla Sun Life Resurgent India Fund - Series 6 - DPG,MF,16-MAR-2018,10,1,INF209KB1LN0,10
ABSLRIF6RD,Aditya Birla Sun Life Resurgent India Fund - Series 6 - RPDP,MF,16-MAR-2018,10,1,INF209KB1LM2,10
ABSLRIF6RG,Aditya Birla Sun Life Resurgent India Fund - Series 6 - RPG,MF,16-MAR-2018,10,1,INF209KB1LL4,10
ABSLRIF7DD,Aditya Birla Sun Life Resurgent  India Fund Series 7 - DPNDP,MF,13-APR-2018,10,1,INF209KB1NS5,10
ABSLRIF7DG,Aditya Birla Sun Life Resurgent India Fund Series 7 - DPG,MF,13-APR-2018,10,1,INF209KB1NR7,10
ABSLRIF7RD,Aditya Birla Sun Life Resurgent  India Fund Series 7 - RPNDP,MF,13-APR-2018,10,1,INF209KB1NQ9,10
ABSLRIF7RG,Aditya Birla Sun Life Resurgent  India Fund Series 7 - RPG,MF,13-APR-2018,10,1,INF209KB1NP1,10
BPF01D1D,BMF-BCRF-Plan B (Direct) Monthly SP1,MF,23-MAR-2020,1,1,INF955L01IW0,10
BPF01D1R,BMF-BCRF- Plan B (Direct) Monthly Div Reinv SP1,MF,23-MAR-2020,1,1,INF955L01IX8,10
BPF01D2G,BMF-BCRF-Plan B (Direct) Growth SP1,MF,23-MAR-2020,1,1,INF955L01IT6,10
BPF01D3D,BMF-BCR-Plan B (Direct) Qtly Div Reinv SP1,MF,23-MAR-2020,1,1,INF955L01IU4,10
BPF01D3R,BMF-BCR- Plan B (Direct) Quarter,MF,23-MAR-2020,1,1,INF955L01IV2,10
BPF01GPG,BMF-BCRF Plan A Growth Op SP1,MF,23-MAR-2020,1,1,INF955L01IO7,10
BPF01MDD,BMF-BCRF Plan A Monthly Div Payout SP1,MF,23-MAR-2020,1,1,INF955L01IR0,10
BPF01MDR,BMF -BCRF Plan A Monthly Div Rein SP1,MF,23-MAR-2020,1,1,INF955L01IS8,10
BPF01QDD,BMF-BCRF-Plan A Qtly Div Payout SP1,MF,23-MAR-2020,1,1,INF955L01IP4,10
BPF01QDR,BMF-BCRF-Plan A Qtly Div Reinv SP1,MF,23-MAR-2020,1,1,INF955L01IQ2,10
BPF02D1R,Baroda MF - Baroda Treasury Advantage Fund - Plan A- GO -SP1,MF,23-MAR-2020,1,1,INF955L01JK3,1000
BPF02D2G,Baroda MF - Baroda Treasury Advantage Fund - Plan A- DDRO -SP1,MF,23-MAR-2020,1,1,INF955L01JF3,1000
